,scientific_name,park_name,observations,category,common_names,conservation_status
0,Vicia benghalensis,Great Smoky Mountains National Park,68,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch",Not Listed
1,Neovison vison,Great Smoky Mountains National Park,77,Mammal,American Mink,Not Listed
2,Prunus subcordata,Yosemite National Park,138,Vascular Plant,Klamath Plum,Not Listed
3,Abutilon theophrasti,Bryce National Park,84,Vascular Plant,Velvetleaf,Not Listed
4,Githopsis specularioides,Great Smoky Mountains National Park,85,Vascular Plant,Common Bluecup,Not Listed
5,Elymus virginicus var. virginicus,Yosemite National Park,112,Vascular Plant,Virginia Wildrye,Not Listed
6,Spizella pusilla,Yellowstone National Park,228,Bird,Field Sparrow,Not Listed
7,Elymus multisetus,Great Smoky Mountains National Park,39,Vascular Plant,"Big Squirreltail, Big Wild Rye",Not Listed
8,Lysimachia quadrifolia,Yosemite National Park,168,Vascular Plant,Whorled Loosestrife,Not Listed
9,Diphyscium cumberlandianum,Yellowstone National Park,250,Nonvascular Plant,Cumberland Diphyscium Moss,Not Listed
10,Ludwigia peploides ssp. glabrescens,Bryce National Park,103,Vascular Plant,Floating Primrosewillow,Not Listed
11,Cistothorus platensis,Bryce National Park,114,Bird,Sedge Wren,Not Listed
12,Setaria viridis var. viridis,Bryce National Park,101,Vascular Plant,Green Bristlegrass,Not Listed
13,Arabis davidsonii,Yellowstone National Park,279,Vascular Plant,Davidson's Rockcress,Not Listed
14,Fabronia ciliaris,Great Smoky Mountains National Park,72,Nonvascular Plant,Fabronia Moss,Not Listed
15,Lunaria annua,Great Smoky Mountains National Park,65,Vascular Plant,"Annual Honesty, Moneyplant",Not Listed
16,Lunaria annua,Great Smoky Mountains National Park,65,Vascular Plant,Annual Honesty,Not Listed
17,Quercus bicolor,Yosemite National Park,143,Vascular Plant,Swamp White Oak,Not Listed
18,Muhlenbergia rigens,Yosemite National Park,165,Vascular Plant,"Deer Muhly, Deergrass",Not Listed
19,Rubus idaeus ssp. strigosus,Yosemite National Park,150,Vascular Plant,American Red Raspberry,Not Listed
20,Polymnia canadensis,Great Smoky Mountains National Park,80,Vascular Plant,"Leaf-Cup, White-Flower Leafcup",Not Listed
21,Carduus nutans,Bryce National Park,83,Vascular Plant,Musk Thistle,Not Listed
22,Ptilium crista-castrensis,Bryce National Park,109,Nonvascular Plant,Knights Plume Moss,Not Listed
23,Elodea nuttallii,Yosemite National Park,158,Vascular Plant,Western Waterweed,Not Listed
24,Elodea nuttallii,Yosemite National Park,158,Vascular Plant,Waterweed,Not Listed
25,Larus philadelphia,Yosemite National Park,167,Bird,Bonaparte's Gull,Not Listed
26,Zizia trifoliata,Yosemite National Park,135,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders",Species Of Concern
27,Amaranthus retroflexus,Yellowstone National Park,247,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",Not Listed
28,Amaranthus retroflexus,Yellowstone National Park,247,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",Not Listed
29,Geranium thunbergii,Yosemite National Park,150,Vascular Plant,Thunberg's Geranium,Not Listed
30,Scirpus cyperinus,Great Smoky Mountains National Park,73,Vascular Plant,"Bulrush, Cottongrass Bulrush",Not Listed
31,Scirpus cyperinus,Great Smoky Mountains National Park,73,Vascular Plant,"Bulrush, Woolgrass",Not Listed
32,Viola glabella,Yellowstone National Park,261,Vascular Plant,Pioneer Violet,Not Listed
33,Scaphiopus holbrookii holbrookii,Yosemite National Park,177,Amphibian,Eastern Spadefoot,Not Listed
34,Glyceria striata,Yosemite National Park,117,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",Not Listed
35,Glyceria striata,Yosemite National Park,117,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",Not Listed
36,Veronica cusickii,Bryce National Park,84,Vascular Plant,Cusick's Speedwell,Not Listed
37,Festuca filiformis,Great Smoky Mountains National Park,79,Vascular Plant,Fineleaf Sheep Fescue,Not Listed
38,Rosa pinetorum,Bryce National Park,96,Vascular Plant,Pine Rose,Not Listed
39,Lysimachia nummularia,Yosemite National Park,140,Vascular Plant,"Creeping Jennie, Moneywort",Not Listed
40,Sclerolinon digynum,Bryce National Park,116,Vascular Plant,"Digynum Flax, Northwestern Yellowflax",Not Listed
